cmp_segid,month,period_label,avg_speed_block
7,2024-12,12:00 am to 6:00 am,22.023669749078874
7,2024-12,12:00 pm to 6:00 pm,18.79993827196542
7,2024-12,6:00 am to 12:00 pm,19.493423867681205
7,2024-12,6:00 pm to 12:00 am,19.203349565770687
7,2025-01,12:00 am to 6:00 am,19.830907326963963
7,2025-01,12:00 pm to 6:00 pm,18.66420700934232
7,2025-01,6:00 am to 12:00 pm,19.291813717473197
7,2025-01,6:00 pm to 12:00 am,19.11293635580465
7,2025-02,12:00 am to 6:00 am,17.39401388888889
7,2025-02,12:00 pm to 6:00 pm,18.388319444444445
7,2025-02,6:00 am to 12:00 pm,19.037277777777778
7,2025-02,6:00 pm to 12:00 am,18.703388888888888
7,2025-03,12:00 am to 6:00 am,17.23011111111111
7,2025-03,12:00 pm to 6:00 pm,18.381027777777778
7,2025-03,6:00 am to 12:00 pm,19.129555555555555
7,2025-03,6:00 pm to 12:00 am,18.637763888888887
8,2024-12,12:00 am to 6:00 am,16.041782531732242
8,2024-12,12:00 pm to 6:00 pm,15.72205617674841
8,2024-12,6:00 am to 12:00 pm,16.18534839599862
8,2024-12,6:00 pm to 12:00 am,16.295629222940104
8,2025-01,12:00 am to 6:00 am,16.05018469892423
8,2025-01,12:00 pm to 6:00 pm,15.591845238095237
8,2025-01,6:00 am to 12:00 pm,16.028259970976112
8,2025-01,6:00 pm to 12:00 am,16.18507773116921
8,2025-02,12:00 am to 6:00 am,14.209111111111111
8,2025-02,12:00 pm to 6:00 pm,15.305125000000002
8,2025-02,6:00 am to 12:00 pm,15.709847222222223
8,2025-02,6:00 pm to 12:00 am,15.665527777777777
8,2025-03,12:00 am to 6:00 am,14.468680555555556
8,2025-03,12:00 pm to 6:00 pm,15.372791666666666
8,2025-03,6:00 am to 12:00 pm,15.619708333333334
8,2025-03,6:00 pm to 12:00 am,15.66398611111111
9,2024-12,12:00 am to 6:00 am,15.997419049393082
9,2024-12,12:00 pm to 6:00 pm,10.886296958500369
9,2024-12,6:00 am to 12:00 pm,13.008928711622843
9,2024-12,6:00 pm to 12:00 am,12.462801666532355
9,2025-01,12:00 am to 6:00 am,15.358855666811998
9,2025-01,12:00 pm to 6:00 pm,9.635140897654182
9,2025-01,6:00 am to 12:00 pm,11.532469360701986
9,2025-01,6:00 pm to 12:00 am,11.700558946193636
9,2025-02,12:00 am to 6:00 am,15.617180555555555
9,2025-02,12:00 pm to 6:00 pm,9.526625000000001
9,2025-02,6:00 am to 12:00 pm,11.617472222222224
9,2025-02,6:00 pm to 12:00 am,11.728541666666667
9,2025-03,12:00 am to 6:00 am,15.39784722222222
9,2025-03,12:00 pm to 6:00 pm,9.553652777777778
9,2025-03,6:00 am to 12:00 pm,11.567124999999999
9,2025-03,6:00 pm to 12:00 am,11.403805555555556
10,2024-12,12:00 am to 6:00 am,12.961675324675324
10,2024-12,12:00 pm to 6:00 pm,12.12675592481323
10,2024-12,6:00 am to 12:00 pm,12.394543000502148
10,2024-12,6:00 pm to 12:00 am,12.750793553552276
10,2025-01,12:00 am to 6:00 am,12.79491623028013
10,2025-01,12:00 pm to 6:00 pm,11.985061524564708
10,2025-01,6:00 am to 12:00 pm,12.38280667540892
10,2025-01,6:00 pm to 12:00 am,12.552511171356898
10,2025-02,12:00 am to 6:00 am,11.138763888888889
10,2025-02,12:00 pm to 6:00 pm,11.48411111111111
10,2025-02,6:00 am to 12:00 pm,11.855097222222222
10,2025-02,6:00 pm to 12:00 am,12.15536111111111
10,2025-03,12:00 am to 6:00 am,11.296652777777778
10,2025-03,12:00 pm to 6:00 pm,11.459097222222221
10,2025-03,6:00 am to 12:00 pm,11.793305555555555
10,2025-03,6:00 pm to 12:00 am,11.895486111111111
11,2024-12,12:00 am to 6:00 am,13.198154967563488
11,2024-12,12:00 pm to 6:00 pm,12.329602564102565
11,2024-12,6:00 am to 12:00 pm,13.183337357094949
11,2024-12,6:00 pm to 12:00 am,13.704576923076923
11,2025-01,12:00 am to 6:00 am,13.197505162503257
11,2025-01,12:00 pm to 6:00 pm,11.97342857142857
11,2025-01,6:00 am to 12:00 pm,12.004880952380953
11,2025-01,6:00 pm to 12:00 am,13.607619047619048
11,2025-02,12:00 am to 6:00 am,11.939736111111111
11,2025-02,12:00 pm to 6:00 pm,11.72175
11,2025-02,6:00 am to 12:00 pm,11.999125
11,2025-02,6:00 pm to 12:00 am,13.314597222222224
11,2025-03,12:00 am to 6:00 am,12.07302777777778
11,2025-03,12:00 pm to 6:00 pm,11.938541666666666
11,2025-03,6:00 am to 12:00 pm,12.163736111111112
11,2025-03,6:00 pm to 12:00 am,13.617277777777778
12,2024-12,12:00 am to 6:00 am,13.829387469802072
12,2024-12,12:00 pm to 6:00 pm,12.783999999999999
12,2024-12,6:00 am to 12:00 pm,14.144229855896084
12,2024-12,6:00 pm to 12:00 am,15.024564102564101
12,2025-01,12:00 am to 6:00 am,14.210921367269158
12,2025-01,12:00 pm to 6:00 pm,12.534797619047618
12,2025-01,6:00 am to 12:00 pm,13.939285714285715
12,2025-01,6:00 pm to 12:00 am,14.928619047619046
12,2025-02,12:00 am to 6:00 am,14.033624999999999
12,2025-02,12:00 pm to 6:00 pm,12.226194444444443
12,2025-02,6:00 am to 12:00 pm,13.700013888888888
12,2025-02,6:00 pm to 12:00 am,15.334958333333333
12,2025-03,12:00 am to 6:00 am,13.489500000000001
12,2025-03,12:00 pm to 6:00 pm,11.897402777777778
12,2025-03,6:00 am to 12:00 pm,13.454666666666666
12,2025-03,6:00 pm to 12:00 am,14.904541666666667
13,2024-12,12:00 am to 6:00 am,14.43446401012669
13,2024-12,12:00 pm to 6:00 pm,12.135833333333332
13,2024-12,6:00 am to 12:00 pm,13.849051282051283
13,2024-12,6:00 pm to 12:00 am,14.313153846153847
13,2025-01,12:00 am to 6:00 am,14.735087253437348
13,2025-01,12:00 pm to 6:00 pm,11.528428571428572
13,2025-01,6:00 am to 12:00 pm,12.181642857142856
13,2025-01,6:00 pm to 12:00 am,14.339298328508997
13,2025-02,12:00 am to 6:00 am,13.63713888888889
13,2025-02,12:00 pm to 6:00 pm,11.647027777777778
13,2025-02,6:00 am to 12:00 pm,12.28572222222222
13,2025-02,6:00 pm to 12:00 am,14.093430555555557
13,2025-03,12:00 am to 6:00 am,13.873166666666668
13,2025-03,12:00 pm to 6:00 pm,11.540305555555555
13,2025-03,6:00 am to 12:00 pm,12.356458333333334
13,2025-03,6:00 pm to 12:00 am,14.245291666666667
14,2024-12,12:00 am to 6:00 am,15.867939377458724
14,2024-12,12:00 pm to 6:00 pm,13.027910256410257
14,2024-12,6:00 am to 12:00 pm,14.69325430972041
14,2024-12,6:00 pm to 12:00 am,15.622270999696754
14,2025-01,12:00 am to 6:00 am,16.37967521974501
14,2025-01,12:00 pm to 6:00 pm,13.314749999999998
14,2025-01,6:00 am to 12:00 pm,14.632011904761905
14,2025-01,6:00 pm to 12:00 am,15.4873557831395
14,2025-02,12:00 am to 6:00 am,15.475805555555555
14,2025-02,12:00 pm to 6:00 pm,13.029097222222221
14,2025-02,6:00 am to 12:00 pm,14.547291666666666
14,2025-02,6:00 pm to 12:00 am,15.209430555555556
14,2025-03,12:00 am to 6:00 am,15.490208333333333
14,2025-03,12:00 pm to 6:00 pm,12.64773611111111
14,2025-03,6:00 am to 12:00 pm,14.383541666666668
14,2025-03,6:00 pm to 12:00 am,15.183888888888887
15,2024-12,12:00 am to 6:00 am,15.290260484292636
15,2024-12,12:00 pm to 6:00 pm,12.065307692307691
15,2024-12,6:00 am to 12:00 pm,12.484520574932313
15,2024-12,6:00 pm to 12:00 am,14.188651280157558
15,2025-01,12:00 am to 6:00 am,15.267644416815159
15,2025-01,12:00 pm to 6:00 pm,11.890714285714287
15,2025-01,6:00 am to 12:00 pm,11.743247437609318
15,2025-01,6:00 pm to 12:00 am,13.978543545688318
15,2025-02,12:00 am to 6:00 am,13.635347222222222
15,2025-02,12:00 pm to 6:00 pm,11.60148611111111
15,2025-02,6:00 am to 12:00 pm,11.704791666666667
15,2025-02,6:00 pm to 12:00 am,13.805069444444444
15,2025-03,12:00 am to 6:00 am,13.559736111111112
15,2025-03,12:00 pm to 6:00 pm,11.658902777777778
15,2025-03,6:00 am to 12:00 pm,11.613611111111112
15,2025-03,6:00 pm to 12:00 am,13.843736111111111
16,2024-12,12:00 am to 6:00 am,15.765465124709912
16,2024-12,12:00 pm to 6:00 pm,11.74270512820513
16,2024-12,6:00 am to 12:00 pm,13.345984834546611
16,2024-12,6:00 pm to 12:00 am,14.029225735704792
16,2025-01,12:00 am to 6:00 am,15.263037247034498
16,2025-01,12:00 pm to 6:00 pm,11.855273809523808
16,2025-01,6:00 am to 12:00 pm,12.8644268142204
16,2025-01,6:00 pm to 12:00 am,14.355511719979264
16,2025-02,12:00 am to 6:00 am,14.444125
16,2025-02,12:00 pm to 6:00 pm,11.665097222222222
16,2025-02,6:00 am to 12:00 pm,12.594069444444443
16,2025-02,6:00 pm to 12:00 am,13.944
16,2025-03,12:00 am to 6:00 am,14.28765277777778
16,2025-03,12:00 pm to 6:00 pm,11.369166666666667
16,2025-03,6:00 am to 12:00 pm,12.728638888888888
16,2025-03,6:00 pm to 12:00 am,14.154208333333335
17,2024-12,12:00 am to 6:00 am,16.40370947403318
17,2024-12,12:00 pm to 6:00 pm,12.166576923076924
17,2024-12,6:00 am to 12:00 pm,12.048294871794873
17,2024-12,6:00 pm to 12:00 am,14.603820512820512
17,2025-01,12:00 am to 6:00 am,16.338003375947103
17,2025-01,12:00 pm to 6:00 pm,11.847678571428572
17,2025-01,6:00 am to 12:00 pm,11.665500000000002
17,2025-01,6:00 pm to 12:00 am,14.69190476190476
17,2025-02,12:00 am to 6:00 am,15.879972222222221
17,2025-02,12:00 pm to 6:00 pm,11.650402777777778
17,2025-02,6:00 am to 12:00 pm,11.203902777777778
17,2025-02,6:00 pm to 12:00 am,14.256638888888888
17,2025-03,12:00 am to 6:00 am,15.977541666666667
17,2025-03,12:00 pm to 6:00 pm,11.625916666666667
17,2025-03,6:00 am to 12:00 pm,11.033416666666668
17,2025-03,6:00 pm to 12:00 am,14.357861111111111
18,2024-12,12:00 am to 6:00 am,17.572938918787955
18,2024-12,12:00 pm to 6:00 pm,13.532692307692308
18,2024-12,6:00 am to 12:00 pm,14.95097528210443
18,2024-12,6:00 pm to 12:00 am,16.19546153846154
18,2025-01,12:00 am to 6:00 am,17.597164123576327
18,2025-01,12:00 pm to 6:00 pm,13.719130952380953
18,2025-01,6:00 am to 12:00 pm,14.795535714285714
18,2025-01,6:00 pm to 12:00 am,16.20082142857143
18,2025-02,12:00 am to 6:00 am,17.32847222222222
18,2025-02,12:00 pm to 6:00 pm,13.444819444444443
18,2025-02,6:00 am to 12:00 pm,14.484930555555556
18,2025-02,6:00 pm to 12:00 am,16.09929166666667
18,2025-03,12:00 am to 6:00 am,17.614875
18,2025-03,12:00 pm to 6:00 pm,13.35676388888889
18,2025-03,6:00 am to 12:00 pm,14.641458333333333
18,2025-03,6:00 pm to 12:00 am,15.971069444444446
19,2024-12,12:00 am to 6:00 am,16.395792391552174
19,2024-12,12:00 pm to 6:00 pm,13.353493762882714
19,2024-12,6:00 am to 12:00 pm,14.926527939233802
19,2024-12,6:00 pm to 12:00 am,14.758758977250437
19,2025-01,12:00 am to 6:00 am,16.841223326451665
19,2025-01,12:00 pm to 6:00 pm,13.190773115248193
19,2025-01,6:00 am to 12:00 pm,14.765331803847024
19,2025-01,6:00 pm to 12:00 am,14.49126991340006
19,2025-02,12:00 am to 6:00 am,13.372430555555555
19,2025-02,12:00 pm to 6:00 pm,12.645736111111113
19,2025-02,6:00 am to 12:00 pm,13.620375000000001
19,2025-02,6:00 pm to 12:00 am,13.232166666666666
19,2025-03,12:00 am to 6:00 am,13.499763888888888
19,2025-03,12:00 pm to 6:00 pm,12.701041666666667
19,2025-03,6:00 am to 12:00 pm,13.794486111111112
19,2025-03,6:00 pm to 12:00 am,13.147319444444443
20,2024-12,12:00 am to 6:00 am,16.819902296191927
20,2024-12,12:00 pm to 6:00 pm,13.155090092040334
20,2024-12,6:00 am to 12:00 pm,14.807325457452366
20,2024-12,6:00 pm to 12:00 am,15.961099859684301
20,2025-01,12:00 am to 6:00 am,18.236147137166004
20,2025-01,12:00 pm to 6:00 pm,13.19853078404148
20,2025-01,6:00 am to 12:00 pm,14.522159769165562
20,2025-01,6:00 pm to 12:00 am,16.084776981638452
20,2025-02,12:00 am to 6:00 am,15.192319444444443
20,2025-02,12:00 pm to 6:00 pm,12.793513888888889
20,2025-02,6:00 am to 12:00 pm,13.840958333333333
20,2025-02,6:00 pm to 12:00 am,15.071430555555557
20,2025-03,12:00 am to 6:00 am,15.52661111111111
20,2025-03,12:00 pm to 6:00 pm,12.739458333333332
20,2025-03,6:00 am to 12:00 pm,14.011680555555555
20,2025-03,6:00 pm to 12:00 am,15.128152777777778
21,2024-12,12:00 am to 6:00 am,17.986020057608773
21,2024-12,12:00 pm to 6:00 pm,13.354693141500084
21,2024-12,6:00 am to 12:00 pm,14.758072517097217
21,2024-12,6:00 pm to 12:00 am,16.27030056059562
21,2025-01,12:00 am to 6:00 am,17.631872893225236
21,2025-01,12:00 pm to 6:00 pm,13.221578087703506
21,2025-01,6:00 am to 12:00 pm,14.52857790271184
21,2025-01,6:00 pm to 12:00 am,15.949295656396245
21,2025-02,12:00 am to 6:00 am,15.05738888888889
21,2025-02,12:00 pm to 6:00 pm,12.704291666666668
21,2025-02,6:00 am to 12:00 pm,14.11701388888889
21,2025-02,6:00 pm to 12:00 am,15.152388888888888
21,2025-03,12:00 am to 6:00 am,15.264527777777777
21,2025-03,12:00 pm to 6:00 pm,12.627930555555556
21,2025-03,6:00 am to 12:00 pm,14.022861111111112
21,2025-03,6:00 pm to 12:00 am,14.882430555555556
22,2024-12,12:00 am to 6:00 am,16.367901729328256
22,2024-12,12:00 pm to 6:00 pm,14.95979487179487
22,2024-12,6:00 am to 12:00 pm,15.901802157593883
22,2024-12,6:00 pm to 12:00 am,16.18709182700427
22,2025-01,12:00 am to 6:00 am,17.029962560533978
22,2025-01,12:00 pm to 6:00 pm,14.634595238095237
22,2025-01,6:00 am to 12:00 pm,15.5237723880597
22,2025-01,6:00 pm to 12:00 am,16.00291106516043
22,2025-02,12:00 am to 6:00 am,15.386527777777777
22,2025-02,12:00 pm to 6:00 pm,14.175916666666666
22,2025-02,6:00 am to 12:00 pm,15.282083333333333
22,2025-02,6:00 pm to 12:00 am,15.666777777777776
22,2025-03,12:00 am to 6:00 am,15.370111111111113
22,2025-03,12:00 pm to 6:00 pm,13.97175
22,2025-03,6:00 am to 12:00 pm,15.260819444444444
22,2025-03,6:00 pm to 12:00 am,15.502291666666666
23,2024-12,12:00 am to 6:00 am,29.15403365765043
23,2024-12,12:00 pm to 6:00 pm,18.509628205128205
23,2024-12,6:00 am to 12:00 pm,21.592551282051286
23,2024-12,6:00 pm to 12:00 am,21.90825641025641
23,2025-01,12:00 am to 6:00 am,29.04883664030446
23,2025-01,12:00 pm to 6:00 pm,19.305654761904762
23,2025-01,6:00 am to 12:00 pm,21.21957142857143
23,2025-01,6:00 pm to 12:00 am,23.38678571428572
23,2025-02,12:00 am to 6:00 am,29.161805555555556
23,2025-02,12:00 pm to 6:00 pm,18.165902777777777
23,2025-02,6:00 am to 12:00 pm,20.96573611111111
23,2025-02,6:00 pm to 12:00 am,24.042305555555558
23,2025-03,12:00 am to 6:00 am,28.665152777777777
23,2025-03,12:00 pm to 6:00 pm,18.519055555555557
23,2025-03,6:00 am to 12:00 pm,20.642625
23,2025-03,6:00 pm to 12:00 am,23.92595833333333
24,2024-12,12:00 am to 6:00 am,26.450860458371654
24,2024-12,12:00 pm to 6:00 pm,18.784564102564104
24,2024-12,6:00 am to 12:00 pm,21.20160256410256
24,2024-12,6:00 pm to 12:00 am,23.11105128205128
24,2025-01,12:00 am to 6:00 am,26.636143146900533
24,2025-01,12:00 pm to 6:00 pm,19.337869047619048
24,2025-01,6:00 am to 12:00 pm,20.65435714285714
24,2025-01,6:00 pm to 12:00 am,23.87384523809524
24,2025-02,12:00 am to 6:00 am,27.032833333333333
24,2025-02,12:00 pm to 6:00 pm,18.437569444444446
24,2025-02,6:00 am to 12:00 pm,19.882930555555557
24,2025-02,6:00 pm to 12:00 am,23.46163888888889
24,2025-03,12:00 am to 6:00 am,26.78525
24,2025-03,12:00 pm to 6:00 pm,17.04676388888889
24,2025-03,6:00 am to 12:00 pm,18.937291666666667
24,2025-03,6:00 pm to 12:00 am,23.220388888888888
25,2024-12,12:00 am to 6:00 am,34.72429750661414
25,2024-12,12:00 pm to 6:00 pm,22.88910256410256
25,2024-12,6:00 am to 12:00 pm,27.84283333333333
25,2024-12,6:00 pm to 12:00 am,30.04288461538462
25,2025-01,12:00 am to 6:00 am,34.50181458504929
25,2025-01,12:00 pm to 6:00 pm,22.39878571428571
25,2025-01,6:00 am to 12:00 pm,26.910059523809526
25,2025-01,6:00 pm to 12:00 am,30.495297619047623
25,2025-02,12:00 am to 6:00 am,33.567597222222226
